meas_i,meas_j,cat_i,cat_j,dot_meas,dot_cat,abs_error
2,4,1,3,0.988396453786375,0.01739446,0.971001993786375
1,4,1,3,0.988932845799489,0.01739446,0.971538385799489
1,5,1,3,0.989000177786672,0.01739446,0.971605717786672
2,5,1,3,0.991718082629617,0.01739446,0.974323622629617
2,3,1,3,0.996460125262335,0.01739446,0.979065665262335
3,5,1,3,0.996497092364607,0.01739446,0.979102632364607
1,3,1,3,0.996941397177782,0.01739446,0.979546937177782
4,5,1,3,0.997183264840129,0.01739446,0.979788804840129
3,4,1,3,0.997461059464629,0.01739446,0.980066599464629
1,2,1,3,0.998944464789784,0.01739446,0.981550004789784
2,4,1,2,0.988396453786375,-0.00354022,0.991936673786375
1,4,1,2,0.988932845799489,-0.00354022,0.992473065799489
1,5,1,2,0.989000177786672,-0.00354022,0.992540397786672
2,5,1,2,0.991718082629617,-0.00354022,0.995258302629617
2,3,1,2,0.996460125262335,-0.00354022,1.00000034526233
3,5,1,2,0.996497092364607,-0.00354022,1.00003731236461
1,3,1,2,0.996941397177782,-0.00354022,1.00048161717778
4,5,1,2,0.997183264840129,-0.00354022,1.00072348484013
3,4,1,2,0.997461059464629,-0.00354022,1.00100127946463
1,2,1,2,0.998944464789784,-0.00354022,1.00248468478978
2,4,2,3,0.988396453786375,-0.01480281,1.00319926378637
1,4,2,3,0.988932845799489,-0.01480281,1.00373565579949
1,5,2,3,0.989000177786672,-0.01480281,1.00380298778667
2,5,2,3,0.991718082629617,-0.01480281,1.00652089262962
2,3,2,3,0.996460125262335,-0.01480281,1.01126293526234
3,5,2,3,0.996497092364607,-0.01480281,1.01129990236461
1,3,2,3,0.996941397177782,-0.01480281,1.01174420717778
4,5,2,3,0.997183264840129,-0.01480281,1.01198607484013
3,4,2,3,0.997461059464629,-0.01480281,1.01226386946463
1,2,2,3,0.998944464789784,-0.01480281,1.01374727478978
